,name,url
250,"3-комн. квартира, 61,9 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/314610784/
251,"4-комн. квартира, 81 м², 3/4 этаж",https://kemerovo.cian.ru/sale/flat/297289560/
252,"4-комн. квартира, 72 м², 6/9 этаж",https://kemerovo.cian.ru/sale/flat/314335498/
253,"3-комн. квартира, 74,7 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/297740224/
254,"1-комн. квартира, 35,9 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/304921779/
255,"2-комн. квартира, 49 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/312397669/
256,"1-комн. квартира, 32 м², 1/3 этаж",https://kemerovo.cian.ru/sale/flat/307657096/
257,"3-комн. квартира, 64,7 м², 6/9 этаж",https://kemerovo.cian.ru/sale/flat/307946907/
258,"3-комн. квартира, 65 м², 1/10 этаж",https://kemerovo.cian.ru/sale/flat/294239163/
259,"1-комн. квартира, 30 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/309581979/
260,"2-комн. квартира, 55,5 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/309239854/
261,"2-комн. квартира, 45 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/313662850/
262,"3-комн. квартира, 76,6 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/292734118/
263,"3-комн. квартира, 64 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/309426308/
264,"4-комн. квартира, 60 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310950318/
265,"3-комн. квартира, 60,5 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/314566077/
266,"2-комн. квартира, 42,3 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/305634603/
267,"1-комн. квартира, 33 м², 8/11 этаж",https://kemerovo.cian.ru/sale/flat/312400242/
268,"1-комн. квартира, 31,4 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/310194338/
